pid,n_trials,baseline,mean_shift,std_shift,r_squared,mean_prediction,w_michael_saylor,w_cathie_wood,w_elon_musk,w_jack_dorsey,w_larry_fink,w_donald_trump,w_warren_buffett,w_peter_schiff,w_jamie_dimon,w_nouriel_roubini
1,50,50000.0,48300.0,37697.0,0.2478,98300.0,0.029,0.0662,0.0387,0.0799,0.2087,-0.0029,0.1013,0.12,0.9819,-0.4823
2,50,50000.0,47700.0,62329.0,0.3645,97700.0,0.0449,0.0727,0.0708,0.1491,0.0288,0.0535,-1.3332,9.2,-4.5432,-4.1356
3,50,50000.0,37900.0,35429.0,0.2836,87900.0,0.0163,0.0703,-0.0248,0.0557,0.2122,0.0464,-0.6657,2.4366,-0.2661,-1.4258
4,50,100000.0,47300.0,50812.0,0.2016,147300.0,0.0106,0.0835,0.0502,0.0894,0.033,-0.0299,0.4028,4.7145,3.0554,-4.4173
5,50,55000.0,37100.0,43155.0,0.3517,92100.0,0.0173,0.0961,0.0338,0.0671,0.2568,0.1109,-2.0676,3.1299,-2.8998,-0.6456
6,50,80000.0,13280.0,43942.0,0.3053,93280.0,0.0221,0.0822,-0.1296,0.0382,0.2168,0.0397,-0.9999,-5.0599,-3.5083,4.9119
8,50,85000.0,53780.0,54312.0,0.4534,138780.0,0.0266,0.1063,-0.118,0.1385,0.0719,0.0629,-1.0002,6.2066,-2.3139,-3.0779
9,50,85000.0,52260.0,60416.0,0.4468,137260.0,0.0556,0.0783,-0.0176,0.1014,-0.08,0.0724,0.358,10.7832,-0.3486,-7.097
10,50,60000.0,76070.0,58486.0,0.2523,136070.0,0.0499,0.1401,0.0325,0.1291,0.1915,0.0831,-0.8987,1.2077,-0.463,-0.4953
11,50,50000.0,15860.0,30617.0,0.1014,65860.0,0.0041,0.0384,0.0029,0.0285,0.1253,0.0188,-0.7242,-0.0139,-0.3198,0.2359
12,50,75000.0,57410.0,64237.0,0.2303,132410.0,0.0376,0.1013,0.0988,0.1724,0.1351,0.0375,-0.9997,-4.7027,-0.8501,3.6131
13,50,35000.0,66160.0,49480.0,0.2757,101160.0,0.0647,0.1005,0.0225,0.091,0.2548,0.084,-0.1382,2.3873,-3.3521,-0.227
14,50,60000.0,63020.0,48593.0,0.5127,123020.0,0.0266,0.1232,-0.0409,0.1336,0.1255,0.048,-0.1491,6.6326,1.1562,-4.8617
15,50,70000.0,51360.0,46393.0,0.1764,121360.0,0.0351,0.0739,0.053,0.0803,0.1648,0.0475,-0.4445,5.7009,-1.5756,-3.1072
16,50,70000.0,30340.0,42607.0,0.4382,100340.0,0.0086,0.0781,-0.0074,0.1003,0.0425,0.0156,0.3525,-3.7294,-3.7238,3.9301
17,49,35000.0,85255.0,65939.0,0.2337,120255.0,0.0515,0.048,0.0063,0.0739,-0.0027,0.1389,3.1411,8.3127,4.2657,-7.6651
18,50,60000.0,64680.0,55252.0,0.2239,124680.0,0.0343,0.0561,0.021,0.0534,0.1492,-0.0234,2.095,7.6667,1.5526,-6.0089
19,50,70000.0,73420.0,62685.0,0.3227,143420.0,0.0488,0.1082,0.1179,0.1433,0.201,0.0754,-0.2407,-10.6982,3.3851,5.8162
20,50,90000.0,33840.0,49788.0,0.4292,123840.0,0.0379,0.1595,-0.1024,0.0686,0.1533,0.0315,-0.8123,-0.7914,-4.9144,2.6036
21,50,60000.0,46330.0,38016.0,0.3473,106330.0,0.0401,0.074,0.0094,0.0538,0.3584,0.0662,-0.2204,-3.9814,-1.2645,3.1955
22,50,80000.0,62350.0,90875.0,0.2981,142350.0,0.0621,0.1235,-0.0459,0.1623,0.016,0.0499,-1.8611,8.4284,-0.4101,-5.2055
23,50,65000.0,77660.0,49972.0,0.4456,142660.0,0.0373,0.0907,-0.0471,0.1165,0.1918,0.0305,1.1153,12.5338,-0.3181,-8.3742
24,50,50000.0,40300.0,69204.0,0.488,90300.0,-0.0342,0.0097,0.258,0.1115,0.2218,0.0646,-1.6066,10.421,4.2199,-8.4138
25,50,30000.0,24000.0,45085.0,0.2519,54000.0,0.0316,0.0301,-0.1159,0.054,0.1358,-0.0635,0.2297,-0.5637,3.8395,-1.1904
26,50,60000.0,50860.0,33897.0,0.3415,110860.0,0.0458,0.0655,-0.0306,0.0737,0.1194,0.0489,0.0771,2.0911,0.9845,-1.7959
27,50,60000.0,41020.0,36656.0,0.2898,101020.0,0.0292,0.0667,0.0579,0.0985,0.0717,0.0747,-1.3336,2.1205,0.6045,-1.4746
28,50,55000.0,61800.0,48993.0,0.4146,116800.0,0.0317,0.1047,-0.1251,0.0901,0.0803,0.0013,1.2924,8.3559,0.4517,-5.9234
29,50,35000.0,33900.0,34778.0,0.3561,68900.0,0.024,0.0387,-0.0428,0.0799,0.2414,0.0081,-0.3233,1.9304,-0.6943,-0.9629
30,50,85000.0,42306.0,47690.0,0.5423,127306.0,0.0195,0.0461,-0.0759,0.1363,-0.0032,-0.0233,0.5699,4.288,3.0727,-4.1642
31,49,50000.0,45918.0,42287.0,0.3293,95918.0,0.0154,0.0712,-0.0127,0.1111,0.2444,0.0235,0.0519,-3.1156,-0.3728,2.2233
32,49,20000.0,110918.0,113191.0,0.2743,130918.0,0.0722,0.167,0.2105,0.3211,0.0761,0.2058,-3.0671,-2.9043,-5.9929,4.7499
33,49,80000.0,7959.0,39514.0,0.3689,87959.0,0.0036,0.0669,-0.141,0.0578,0.074,-0.0344,-1.1473,4.3242,0.4081,-2.8938
34,50,137000.0,35600.0,102719.0,0.3515,172600.0,0.0509,0.1282,-0.29,0.1939,-0.1981,0.0708,-1.6174,1.7771,1.3168,-1.5003
35,50,50000.0,26380.0,40413.0,0.3459,76380.0,0.0159,0.0131,0.0158,0.0597,0.2577,0.0088,-1.4442,5.998,1.0417,-4.2188
36,49,80000.0,52755.0,45633.0,0.2878,132755.0,0.0206,0.1116,0.0302,0.0819,0.0531,0.0514,0.0215,5.6613,0.839,-4.1103
37,50,100000.0,37010.0,94543.0,0.4311,137010.0,0.0688,-0.0095,-0.487,0.0821,-0.1452,-0.0702,1.4533,3.7862,13.6357,-8.1808
38,50,50000.0,17200.0,35039.0,0.2708,67200.0,0.0164,0.0103,0.0671,0.0461,0.1988,0.0514,-1.8704,2.2489,-0.9204,-0.8775
39,50,50000.0,20440.0,47875.0,0.2396,70440.0,0.035,0.02,0.0231,0.0755,0.1225,0.1012,-2.5225,0.7514,-1.7175,0.5256
40,50,50000.0,52640.0,39986.0,0.243,102640.0,0.0461,0.0745,0.1371,0.1037,0.1658,0.1433,-1.385,-2.8381,-2.4702,3.0708
41,50,80000.0,31420.0,59611.0,0.2774,111420.0,0.0314,0.046,-0.1122,0.0957,0.0758,-0.0409,0.2003,0.1619,3.9801,-1.7269
42,50,85000.0,24010.0,41742.0,0.3709,109010.0,0.0132,0.0641,-0.0415,0.0869,0.0884,0.0033,-1.147,4.8574,0.1277,-3.1351
43,50,75000.0,46471.0,48780.0,0.5148,121471.0,0.0136,0.1171,0.139,0.1071,0.2847,0.0959,-3.1621,-6.7954,-2.1365,5.8138
44,50,50000.0,73540.0,47726.0,0.2874,123540.0,0.0469,0.1236,0.1663,0.1451,0.2474,0.1437,-2.0798,3.6999,-1.1807,-1.7092
45,50,60000.0,43520.0,44338.0,0.1534,103520.0,0.0336,0.0532,-0.0022,0.0777,0.1784,0.0868,-0.3162,4.7908,-3.6164,-1.7015
46,50,20000.0,18780.0,50295.0,0.2525,38780.0,0.0027,0.0327,0.0088,0.0724,0.2385,-0.0104,-1.2949,-1.7159,0.3186,1.1928
47,50,50000.0,71387.0,63743.0,0.2804,121387.0,0.0436,0.1304,0.0122,0.087,0.1274,0.0802,1.086,7.6263,-5.1098,-3.1817
48,50,65000.0,60160.0,53962.0,0.4936,125160.0,0.0287,0.0475,-0.0691,0.1506,0.2282,0.0183,-0.3584,7.7643,3.6812,-6.5978
49,50,75000.0,39788.0,65006.0,0.1649,114788.0,0.0209,0.043,-0.037,0.1007,0.1733,0.0797,-1.4406,1.0434,2.501,-1.5009
50,50,60000.0,37840.0,39031.0,0.3948,97840.0,0.018,0.0681,-0.0456,0.0992,0.1131,-0.0019,-0.6135,0.4509,0.577,-0.448
51,50,70000.0,29800.0,32965.0,0.221,99800.0,0.014,0.0498,0.0626,0.068,0.0921,-0.0154,-0.2092,3.7934,-1.8329,-1.7655
52,50,50000.0,57220.0,37336.0,0.1782,107220.0,0.0287,0.0442,0.0853,0.08,0.2172,0.1506,0.4134,-4.6392,-0.2369,3.1382
53,49,20000.0,53367.0,37143.0,0.189,73367.0,0.0171,0.0501,0.0929,0.0477,0.3018,0.0324,0.1535,1.6161,3.4335,-2.4653
54,50,60000.0,41200.0,46878.0,0.3383,101200.0,0.0463,0.0355,-0.0626,0.1133,0.0789,0.0989,-0.6419,1.9904,-2.6509,-0.1793
55,50,60000.0,40400.0,28906.0,0.293,100400.0,0.028,0.0725,0.0814,0.0719,0.1136,0.0626,-0.623,3.4208,-3.6675,-0.7267
56,50,10000.0,24160.0,29133.0,0.409,34160.0,0.0081,-0.0002,0.0942,0.0284,0.2579,0.0222,-1.0343,3.1806,1.119,-2.4251
57,49,65000.0,56327.0,66894.0,0.5595,121327.0,0.0212,0.1508,0.0281,0.1637,0.2837,0.031,-1.7813,2.0509,-1.6571,-0.4612
58,50,30000.0,31042.0,29183.0,0.2808,61042.0,0.0171,0.0419,0.0576,0.0514,0.1964,0.0297,-1.1654,3.4619,1.0177,-2.5556
59,50,100000.0,21560.0,47432.0,0.3902,121560.0,0.0089,0.0101,-0.0199,0.104,0.0711,-0.0442,-0.7759,4.7885,-0.887,-2.7333
60,50,40000.0,4680.0,32008.0,0.2732,44680.0,0.0156,0.0102,0.0738,0.0253,0.1294,0.0319,-1.9631,-4.6295,-1.5989,3.9908
61,50,50000.0,39620.0,33081.0,0.2289,89620.0,0.0315,0.0398,0.0304,0.079,0.1722,0.0561,-0.3899,-0.8296,-1.3638,1.1542
62,31,75000.0,50935.0,54254.0,0.3146,125935.0,0.057,0.1123,0.065,0.0878,0.1048,0.0366,-1.2898,4.676,-2.8929,-1.7847
63,28,20000.0,29821.0,62827.0,0.2794,49821.0,0.0459,0.0403,0.109,0.0474,0.3673,0.0549,-3.2281,5.1299,-4.5211,-1.1739
64,27,40000.0,49074.0,32494.0,0.5772,89074.0,0.0492,0.054,0.0763,0.1036,0.2012,0.0816,-1.6389,1.5669,-1.9045,-0.0592
65,24,80000.0,59167.0,66114.0,0.4103,139167.0,0.011,0.0321,0.3926,0.1557,0.0825,-0.0515,-2.6123,6.7819,7.0207,-6.9746
66,25,60000.0,59000.0,49160.0,0.406,119000.0,0.0589,0.1088,0.2893,0.0545,0.236,0.0157,-2.9298,5.8454,0.2919,-3.6151
67,27,85000.0,48426.0,66993.0,0.6089,133426.0,0.0676,-0.071,-0.3938,0.0679,0.0235,0.0225,3.28,6.6384,6.352,-7.4084
68,24,75000.0,38042.0,38554.0,0.3193,113042.0,0.0144,0.0581,-0.0598,0.0517,0.0704,0.0951,0.1931,1.7958,3.9909,-2.818
69,23,50000.0,46826.0,67227.0,0.3223,96826.0,-0.0019,0.1779,0.1683,0.07,0.3714,0.0813,-0.1406,16.895,-13.8765,-5.6852
70,27,60000.0,76370.0,72623.0,0.6325,136370.0,0.0604,0.0928,0.0654,0.2353,0.1323,-0.0522,-0.1542,0.7216,0.1821,-0.5297
71,17,100000.0,118.0,26791.0,0.7535,100118.0,0.0078,-0.0077,0.079,0.0923,-0.0877,0.1482,-0.828,-10.7184,-7.4528,10.2386
72,10,70000.0,42500.0,60702.0,1.0,112500.0,0.0367,0.1133,-0.789,0.1133,-0.789,0.0666,6.5564,4.4486,23.6692,-13.3271
73,12,70000.0,35000.0,43328.0,0.4517,105000.0,0.074,0.0816,-0.3282,-0.0184,-0.0706,-0.1078,4.5846,2.0138,-0.519,-1.752
74,14,60000.0,29286.0,25257.0,0.8519,89286.0,0.0358,0.052,0.1326,-0.0141,-0.0279,-0.0235,-0.2275,5.456,-0.8586,-3.2621
75,12,60000.0,75583.0,96311.0,0.6237,135583.0,0.1194,0.052,-0.4586,0.0731,0.7812,-0.0145,-1.1189,18.7302,1.3426,-12.8697
76,11,20000.0,2818.0,15355.0,0.8029,22818.0,0.0179,0.0025,0.1345,0.0611,0.1191,0.0715,-1.6615,-6.0408,-4.9645,6.2388
78,10,50000.0,9800.0,20746.0,0.9009,59800.0,0.0248,-0.0085,0.1051,0.0335,0.1118,0.0311,0.6489,-4.4224,-6.2534,5.3664
79,11,80000.0,58636.0,34935.0,0.4287,138636.0,-0.0071,-0.0975,,0.0319,0.3328,0.0909,2.7795,-2.034,10.8384,-3.3451
80,12,50000.0,56250.0,55232.0,0.6754,106250.0,0.1101,0.0372,0.1729,0.0966,-0.0153,0.012,-2.1215,10.1766,1.106,-6.941
