pid,n_trials,intercept,w_baseline,w_celeb,r_squared,mean_baseline,mean_celeb_mean,mean_prediction,std_prediction
72,10,0.0,0.2344,0.5588,0.7518,70000.0,171975.0,112500.0,60702.0
75,12,0.0,0.3358,0.5186,0.2292,60000.0,222583.0,135583.0,96311.0
37,50,0.0,0.3038,0.4862,0.268,100000.0,219290.0,137010.0,94543.0
34,50,0.0,0.6272,0.4264,0.1604,137000.0,203270.0,172600.0,102719.0
80,12,0.0,0.6681,0.4125,0.417,50000.0,176583.0,106250.0,55232.0
70,27,0.0,0.9766,0.3722,0.2499,60000.0,208972.0,136370.0,72623.0
67,27,0.0,0.7082,0.3444,0.2747,85000.0,212648.0,133426.0,66993.0
9,50,0.0,0.8709,0.3252,0.2814,85000.0,194475.0,137260.0,60416.0
22,50,0.0,0.8089,0.325,0.1305,80000.0,238875.0,142350.0,90875.0
77,8,-0.0,-0.0175,0.3154,0.1944,30000.0,197844.0,61875.0,50138.0
62,31,0.0,1.0127,0.2425,0.1707,75000.0,206097.0,125935.0,54254.0
41,50,0.0,0.8012,0.2377,0.1383,80000.0,199055.0,111420.0,59611.0
13,50,0.0,1.5412,0.2263,0.1386,35000.0,208635.0,101160.0,49480.0
98,5,0.0,0.8512,0.2194,0.3358,85000.0,267300.0,131000.0,45607.0
100,5,0.0,0.981,0.2182,0.8186,80000.0,190300.0,120000.0,30822.0
47,50,0.0,1.4537,0.2155,0.1243,50000.0,225955.0,121387.0,63743.0
23,50,0.0,1.529,0.2125,0.148,65000.0,203605.0,142660.0,49972.0
73,12,0.0,0.8277,0.2121,0.278,70000.0,221875.0,105000.0,43328.0
54,50,0.0,1.015,0.1997,0.1317,60000.0,201810.0,101200.0,46878.0
2,50,0.0,1.0883,0.197,0.0951,50000.0,219770.0,97700.0,62329.0
48,50,0.0,1.3334,0.1959,0.1086,65000.0,196495.0,125160.0,53962.0
10,50,0.0,1.606,0.1883,0.0787,60000.0,210910.0,136070.0,58486.0
30,50,0.0,1.0541,0.1782,0.1423,85000.0,211585.0,127306.0,47690.0
26,50,0.0,1.2253,0.1777,0.2496,60000.0,210175.0,110860.0,33897.0
14,50,0.0,1.3643,0.1769,0.1336,60000.0,232730.0,123020.0,48593.0
17,49,0.0,2.3311,0.1766,0.0685,35000.0,218908.0,120255.0,65939.0
18,50,0.0,1.4048,0.1715,0.0639,60000.0,235565.0,124680.0,55252.0
64,27,0.0,1.2993,0.1639,0.251,40000.0,226324.0,89074.0,32494.0
66,25,0.0,1.3634,0.1601,0.0923,60000.0,232360.0,119000.0,49160.0
19,50,0.0,1.5793,0.1585,0.0447,70000.0,207345.0,143420.0,62685.0
20,50,0.0,0.9627,0.1583,0.1025,90000.0,234925.0,123840.0,49788.0
69,23,0.0,1.2413,0.1519,0.0514,50000.0,228783.0,96826.0,67227.0
28,50,0.0,1.5544,0.1497,0.0688,55000.0,209120.0,116800.0,48993.0
50,50,0.0,1.1104,0.1495,0.1419,60000.0,208790.0,97840.0,39031.0
32,49,0.0,4.9041,0.148,0.0104,20000.0,221883.0,130918.0,113191.0
68,24,0.0,1.1112,0.1444,0.1376,75000.0,205688.0,113042.0,38554.0
8,50,0.0,1.2399,0.1437,0.056,85000.0,232430.0,138780.0,54312.0
40,50,0.0,1.4294,0.1425,0.1238,50000.0,218810.0,102640.0,39986.0
36,49,0.0,1.2901,0.1412,0.0928,80000.0,209352.0,132755.0,45633.0
44,50,0.0,1.9063,0.1383,0.0797,50000.0,204050.0,123540.0,47726.0
81,5,0.0,1.8564,0.1343,0.0291,50000.0,165150.0,115000.0,48734.0
25,50,0.0,0.8897,0.134,0.0627,30000.0,203715.0,54000.0,45085.0
43,50,0.0,1.2713,0.1268,0.0407,75000.0,205990.0,121471.0,48780.0
42,50,0.0,0.97,0.1219,0.0756,85000.0,217885.0,109010.0,41742.0
49,50,0.0,1.2093,0.1182,0.0294,75000.0,203900.0,114788.0,65006.0
15,50,0.0,1.3799,0.1134,0.0548,70000.0,218515.0,121360.0,46393.0
16,50,0.0,1.1195,0.1094,0.0533,70000.0,200890.0,100340.0,42607.0
74,14,0.0,1.1071,0.1079,0.2053,60000.0,211786.0,89286.0,25257.0
21,50,0.0,1.397,0.1026,0.0635,60000.0,219325.0,106330.0,38016.0
6,50,0.0,0.9061,0.1023,0.0521,80000.0,203150.0,93280.0,43942.0
33,49,0.0,0.8496,0.0962,0.0622,80000.0,207755.0,87959.0,39514.0
27,50,0.0,1.3825,0.0855,0.0498,60000.0,211395.0,101020.0,36656.0
59,50,0.0,1.0381,0.0823,0.0266,100000.0,215765.0,121560.0,47432.0
61,50,0.0,1.4502,0.0821,0.041,50000.0,208310.0,89620.0,33081.0
1,50,0.0,1.6074,0.0789,0.0441,50000.0,227235.0,98300.0,37697.0
12,50,0.0,1.5668,0.0734,0.0084,75000.0,202960.0,132410.0,64237.0
55,50,0.0,1.4192,0.0702,0.0572,60000.0,217095.0,100400.0,28906.0
3,50,0.0,1.5042,0.0661,0.0221,50000.0,191925.0,87900.0,35429.0
91,5,0.0,2.072,0.0634,0.4063,40000.0,207100.0,96000.0,8944.0
45,50,0.0,1.495,0.0633,0.0171,60000.0,218320.0,103520.0,44338.0
4,50,0.0,1.3471,0.0611,0.0096,100000.0,205975.0,147300.0,50812.0
29,50,0.0,1.6437,0.0559,0.0256,35000.0,203270.0,68900.0,34778.0
51,50,0.0,1.2506,0.0543,0.0276,70000.0,225540.0,99800.0,32965.0
78,10,0.0,0.9758,0.0421,0.0277,50000.0,261250.0,59800.0,20746.0
52,50,0.0,1.9553,0.0402,0.01,50000.0,235140.0,107220.0,37336.0
58,50,0.0,1.7863,0.0364,0.0119,30000.0,204985.0,61042.0,29183.0
63,28,0.0,2.1515,0.034,0.0025,20000.0,199562.0,49821.0,62827.0
84,6,0.0,2.8246,0.0314,0.0116,35000.0,248417.0,106667.0,35590.0
31,49,0.0,1.8479,0.0142,0.0011,50000.0,248051.0,95918.0,42287.0
11,50,0.0,1.2745,0.0094,0.0008,50000.0,226475.0,65860.0,30617.0
57,49,0.0,1.8487,0.0053,0.0,65000.0,217490.0,121327.0,66894.0
60,50,0.0,1.0975,0.0035,0.0001,40000.0,221200.0,44680.0,32008.0
35,50,0.0,1.5186,0.0022,0.0,50000.0,206965.0,76380.0,40413.0
39,50,0.0,1.4099,-0.0002,0.0,50000.0,222780.0,70440.0,47875.0
76,11,0.0,1.2669,-0.0119,0.0043,20000.0,210864.0,22818.0,15355.0
38,50,0.0,1.4049,-0.0151,0.0013,50000.0,201370.0,67200.0,35039.0
5,50,0.0,1.7366,-0.0167,0.0013,55000.0,204435.0,92100.0,43155.0
65,24,0.0,1.7903,-0.021,0.0006,80000.0,192708.0,139167.0,66114.0
85,5,0.0,1.4031,-0.0388,0.0567,80000.0,212900.0,104000.0,8944.0
79,11,0.0,1.8546,-0.0418,0.0105,80000.0,232614.0,138636.0,34935.0
46,50,0.0,2.4613,-0.0454,0.0078,20000.0,229975.0,38780.0,50295.0
53,49,0.0,4.1922,-0.0475,0.0142,20000.0,220679.0,73367.0,37143.0
71,17,0.0,1.1741,-0.0703,0.0445,100000.0,245809.0,100118.0,26791.0
56,50,0.0,5.3347,-0.0913,0.0879,10000.0,210165.0,34160.0,29133.0
24,50,0.0,3.4193,-0.3744,0.2837,50000.0,215420.0,90300.0,69204.0
