Question_ID,Question_Type,Question_Text,Options
Q1,Matrix,Would you support or oppose...,"1 = Strongly oppose
  2 = Somewhat oppose
  3 = Neither oppose nor support
  4 = Somewhat support
  5 = Strongly support"
Q2,Slider,"A panel of psychologist have interviewed and administered personality tests to 30 engineers and 70 lawyers, all successful in their respective fields. On the basis of this information, thumbnail descriptions of the 30 engineers and 70 lawyers have been written. Below is one description, chosen at random from the 100 available descriptions. Jack is a 45-year-old man. He is married and has four children. He is generally conservative, careful, and ambitious. He shows no interest in political and social issues and spends most of his free time on his many hobbies which include home carpentry, sailing, and mathematical puzzles. The probability that Jack is one of the 30 engineers in the sample of 100 is ___%. Please indicate the probability on a scale from 0 to 100.",
Q3,Single Choice,"Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimate of the consequences of the programs are as follows: If Program A is adopted, 200 people will be saved. If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved. Which of the two programs would you favor?","1 - I strongly favor program A
  2 - I favor program A
  3 - I slightly favor program A
  4 - I slightly favor program B
  5 - I favor program B
  6 - I strongly favor program B"
Q4,Matrix,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Please complete the statements below.","1 = Extremely improbable
  2 = Very improbable
  3 = Somewhat probable
  4 = Moderately probable
  5 = Very probable
  6 = Extremely probable"
Q5,Single Choice,"A 55-year-old man had a heart condition. He had to stop working because of chest pain. He enjoyed his work and did not want to stop. His pain also interfered with other things, such as travel and recreation. A type of bypass operation would relieve his pain and increase his life expectancy from age 65 to age 70. However, 8% of the people who have this operation die from the operation itself. His physician decided to go ahead with the operation. The operation succeeded. Evaluate the physician's decision to go ahead with the operation.","1 - Incorrect, a very bad decision
  2 - Incorrect, all things considered
  3 - Incorrect, but not unreasonable
  4 - The decision and its opposite are equally good
  5 - Correct, but the opposite would be reasonable too
  6 - Correct, all things considered
  7 - Clearly correct, an excellent decision"
Q6,Single Choice,Do you think there are more or fewer than 12 African countries in the United Nations?,"1 - more
  2 - fewer"
Q7,Text Entry,How many African countries do you think are in the United Nations?,
Q8,Single Choice,Is the tallest redwood tree in the world more or less than 85 feet tall?,"1 - more
  2 - less"
Q9,Text Entry,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.,
Q10,Single Choice,"Please rate your level of disagreement or agreement with the following statement: ""I would find a game that had a 7/36 chance of winning $9 and a 29/36 chance of losing $0.05 extremely attractive.""","1 - Disagree strongly
  2 - Disagree a little
  3 - Neither agree nor disagree
  4 - Agree a little
  5 - Agree strongly"
Q11,Single Choice,"Imagine that highway safety experts have determined that a substantial number of people are at risk of dying in a type of automobile fire. A requirement that every car have a built-in fire extinguisher (estimated cost, $300) would save 98% of the 150 people who would otherwise die every year in this type of automobile fire. Rate the following statement about yourself: I would be supportive of this requirement.","1 - Disagree strongly
  2 - Disagree a little
  3 - Neither agree nor disagree
  4 - Agree a little
  5 - Agree strongly"
Q12,Single Choice,"You have recently graduated from university, obtained a good job, and are buying a new car. A newly designed seatbelt has just become available that would save the lives of 98% of the 500 drivers a year who are involved in a type of head-on-collision. (Approximately half of these fatalities involve drivers who were not at fault.) The newly designed seatbelt is not yet standard on most car models. However, it is available as a $500 option for the car model that you are ordering. How likely is it that you would order your new car with this optional seatbelt?","1 - very unlikely
  2 - unlikely
  3 - somewhat unlikely
  4 - somewhat likely
  5 - likely
  6 - very likely"
Q13,Text Entry,"Imagine that you just paid $50 for a Coffee Connection discount card that allows you to buy coffee for 50% off the regular price of $3.00 (i.e., you pay $1.50). Soon after you purchased the Coffee Connection discount card, Java Coffee, a competitor, opened a new store that sells coffee for just $2.00 per cup. Although the Coffee Connection store is ten minutes away by car, Java Coffee is only about 1/2 block from your apartment. Assuming that you only buy coffee from these two places and that you like the coffee sold in both places the same, how many of your next 20 coffee purchases would be from Java Coffee? Enter a number between 0 and 20.",
Q14,Single Choice,Imagine that you go to purchase a jacket for $250. The jacket salesperson informs you that the jacket you wish to buy is on sale for $240 at the other branch of the store which is ten minutes away by car. Would you drive to the other store?,"1 - Yes
  2 - No"
Q15,Single Choice,"Imagine that when you went to the movies last week, you were inadvertently exposed to a rare and fatal virus. The possibility of actually contracting the disease is 1 in 1,000, but once you have the illness there is no known cure. On the other hand, you can, readily and now, be given an injection that stops the development of the illness. Unfortunately, these injections are only available in very small quantities and are sold to the highest bidder. What is the highest price you would be prepared to pay for such an injection? [You can get a long-term, low-interest loan if needed.]:","1 - $10
  2 - $100
  3 - $1,000
  4 - $10,000
  5 - $50,000
  6 - $100,000
  7 - $250,000
  8 - $500,000
  9 - $1,000,000
  10 - $5,000,000 or more"
Q16,Single Choice,Choose between:,"1 - 11% probability of one million dollars 89% probability of nothing
  2 - 10% probablity of five miillion dollars 90% probability of nothing"
Q17,Single Choice,"According to a comprehensive study by the U.S. Department of Transportation, a particular German car is 8 times more likely than a typical family car to kill occupants of another car in a crash. The U.S. Department of Transportation is considering recommending a ban on the sale of this German car. Do you think that the U.S. should ban the sale of the German car?","1 - definitely no
  2 - no
  3 - probably no
  4 - probably yes
  5 - yes
  6 - definitely yes"
Q18,Matrix,Consider the following situation: A die with 4 red faces and 2 green faces will be rolled 6 times. Before each roll you will be asked to predict which color (red or green) will show up once the die is rolled. Which color is most likely to show up after ...,"1 = red
  2 = green"
Q19,Matrix,"Please rate the following technology or products from ""not at all beneficial"" to ""extremely beneficial""","1 = not at all beneficial
  2 = low benefit
  3 = slightly beneficial
  4 = neutral
  5 = moderately beneficial
  6 = very beneficial
  7 = extremely beneficial"
Q20,Matrix,"Please rate the following technology or products from ""not at all risky"" to ""extremely risky""","1 = not at all risky
  2 = low risk
  3 = slightly risky
  4 = neutral
  5 = moderately risky
  6 = very risky
  7 = extremely risky"
Q21,Single Choice,"Imagine that there will be a deadly flu going around your area next winter. Your doctor says that you have a 10% chance (10 out of 100) of dying from this flu. However, a new flu vaccine has been developed and tested. If taken, the vaccine prevents you from catching the deadly flu. However, there is one serious risk involved with taking this vaccine. The vaccine is made from a somewhat weaker type of flu virus, and there is a 5% (5 out of 100) risk of the vaccine causing you to die from the weaker type of flu. Imagine that this vaccine is completely covered by health insurance. If you had to decide now, which would you choose?","1 - I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.
  2 - I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.
  3 - I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine
  4 - I would definitely take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine."
Q22,Single Choice,"Assume that you are presented with two trays of black and white marbles, a large tray that contains 100 marbles and a small tray that contains 10 marbles. The marbles are spread in a single layer in each tray. You must draw out one marble (without peeking, of course) from either tray. If you draw a black marble you win $2. Consider a condition in which the small tray contains 1 black marble and 9 white marbles, and the large tray contains 8 black marbles and 92 white marbles. From which tray would you prefer to select a marble in a real situation?","1 - the small tray
  2 - the large tray"
Q23,Slider,"What percentage of the public do you think supports the following policies? For each policy, choose a number from 0% to 100%.",
Q24,Single Choice,"Please consider the following product category: Pain Remedies - Headache. Suppose you are in a grocery store, and you see the following product in that category: Tylenol Extra Strength Caplets with 500 mg Acetaminophen, 100 Ct. The product is priced at: $13.16. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q25,Single Choice,"Please consider the following product category: Frankfurters - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Classic Uncured Beef Franks Hot Dogs, 10 ct Pack. The product is priced at: $0.00. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q26,Single Choice,"Please consider the following product category: Fruit Drinks. Suppose you are in a grocery store, and you see the following product in that category: Kool Aid Jammers Variety Pack with Tropical Punch, Grape & Cherry Kids Drink 0% Juice Box Pouches, 30 Ct Box, 6 fl oz Pouches. The product is priced at: $8.72. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q27,Single Choice,"Please consider the following product category: Soft Drinks - Carbonated. Suppose you are in a grocery store, and you see the following product in that category: Coca-Cola Soda Pop, 12 fl oz, 12 Pack Cans. The product is priced at: $16.52. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q28,Single Choice,"Please consider the following product category: Cereal - Ready to Eat. Suppose you are in a grocery store, and you see the following product in that category: Cinnamon Toast Crunch Breakfast Cereal, Crispy Cinnamon Cereal, Family Size, 18.8 oz. The product is priced at: $0.00. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q29,Single Choice,"Please consider the following product category: Ground and Whole Bean Coffee. Suppose you are in a grocery store, and you see the following product in that category: Folgers Classic Roast Ground Coffee, Medium Roast, 40.3-Ounce Canister. The product is priced at: $13.24. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q30,Single Choice,"Please consider the following product category: Light Beer (Low Calorie/Alcohol). Suppose you are in a grocery store, and you see the following product in that category: Bud Light Beer, 24 Pack, 12 fl oz Aluminum Cans, 4.2% ABV, Domestic Lager. The product is priced at: $37.76. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q31,Single Choice,"Please consider the following product category: Candy - Non-Chocolate. Suppose you are in a grocery store, and you see the following product in that category: HARIBO Goldbears Original Gummy Bears, 28.8oz Stand Up Bag. The product is priced at: $1.30. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q32,Single Choice,"Please consider the following product category: Refrigerated Bacon. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Fully Cooked Original Bacon, 2.52 oz Box. The product is priced at: $5.12. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q33,Single Choice,"Please consider the following product category: Frozen Italian Entrees. Suppose you are in a grocery store, and you see the following product in that category: Smart Ones Three Cheese Ziti Marinara Frozen Meal, 9 Oz Box. The product is priced at: $0.45. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q34,Single Choice,"Please consider the following product category: Frozen Foods. Suppose you are in a grocery store, and you see the following product in that category: Great Value All Natural Chicken Wing Sections, 4 lb (Frozen). The product is priced at: $7.79. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q35,Single Choice,"Please consider the following product category: Cold Remedies - Adult. Suppose you are in a grocery store, and you see the following product in that category: Equate Value Size Honey Lemon Cough Drops with Menthol, 160 Count. The product is priced at: $8.42. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q36,Single Choice,"Please consider the following product category: Cleaning Supplies. Suppose you are in a grocery store, and you see the following product in that category: ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 1 lb Box. The product is priced at: $0.31. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q37,Single Choice,"Please consider the following product category: Toilet Tissue. Suppose you are in a grocery store, and you see the following product in that category: Angel Soft Toilet Paper, 9 Mega Rolls, Soft and Strong Toilet Tissue. The product is priced at: $13.36. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q38,Single Choice,"Please consider the following product category: Batteries. Suppose you are in a grocery store, and you see the following product in that category: Duracell Coppertop AA Battery, Long Lasting Double A Batteries, 16 Pack. The product is priced at: $6.39. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q39,Single Choice,"Please consider the following product category: Pet Supplies - Dog Food. Suppose you are in a grocery store, and you see the following product in that category: Purina Dog Chow Complete, Dry Dog Food for Adult Dogs High Protein, Real Chicken, 44 lb Bag. The product is priced at: $5.83. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q40,Single Choice,"Please consider the following product category: Snacks - Potato Chips. Suppose you are in a grocery store, and you see the following product in that category: Lay's Classic Potato Snack Chips, Party Size, 13 oz Bag. The product is priced at: $9.79. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q41,Single Choice,"Please consider the following product category: Ice Cream. Suppose you are in a grocery store, and you see the following product in that category: Haagen Dazs Coffee Ice Cream, Gluten Free, Kosher, 14.0 oz. The product is priced at: $0.84. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q42,Single Choice,"Please consider the following product category: Lunchmeat - Sliced - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Chopped Ham & Water product Deli Lunch Meat, 16 Oz Package. The product is priced at: $1.73. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q43,Single Choice,"Please consider the following product category: Soft Drinks - Low Calorie. Suppose you are in a grocery store, and you see the following product in that category: Coca-Cola Zero Sugar Soda Pop, 16.9 fl oz, 6 Pack Cans. The product is priced at: $8.29. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q44,Single Choice,"Please consider the following product category: Refrigerated Deli Meats. Suppose you are in a grocery store, and you see the following product in that category: Goya Cooked Ham 16 oz. The product is priced at: $59.98. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q45,Single Choice,"Please consider the following product category: Snacks - Tortilla Chips. Suppose you are in a grocery store, and you see the following product in that category: Doritos Nacho Cheese Tortilla Snack Chips, Party Size, 14.5 oz Bag. The product is priced at: $4.75. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q46,Single Choice,"Please consider the following product category: Fruit Juice. Suppose you are in a grocery store, and you see the following product in that category: Capri Sun Variety Pack with Fruit Punch, Strawberry Kiwi & Pacific Cooler Juice Box Pouches, 30 ct Box, 6 fl oz Pouches. The product is priced at: $11.32. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q47,Single Choice,"Please consider the following product category: Bottled Water. Suppose you are in a grocery store, and you see the following product in that category: OZARKA Brand 100% Natural Spring Water, 16.9-ounce plastic bottles (Pack of 35). The product is priced at: $23.95. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q48,Single Choice,"Please consider the following product category: Beer. Suppose you are in a grocery store, and you see the following product in that category: Stella Artois Lager, 12 Pack, 11.2 fl oz Glass Bottles, 5% ABV, Domestic Beer. The product is priced at: $15.73. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q49,Single Choice,"Please consider the following product category: Yogurt - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Chobani Non-Fat Greek Yogurt, Vanilla Blended 32 oz, Plastic. The product is priced at: $8.93. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q50,Single Choice,"Please consider the following product category: Baby Milk and Milk Flavoring. Suppose you are in a grocery store, and you see the following product in that category: Horizon Organic Shelf-Stable Whole Milk Boxes, 8 oz., 12 Pack. The product is priced at: $11.18. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q51,Single Choice,"Please consider the following product category: Candy - Chocolate. Suppose you are in a grocery store, and you see the following product in that category: Hershey's Milk Chocolate Candy, Bars 1.55 oz, 6 Count. The product is priced at: $7.78. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q52,Single Choice,"Please consider the following product category: Dairy Products. Suppose you are in a grocery store, and you see the following product in that category: Land O Lakes Salted Stick Butter, 16 oz, 4 Sticks. The product is priced at: $8.45. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q53,Single Choice,"Please consider the following product category: Paper Towels. Suppose you are in a grocery store, and you see the following product in that category: Bounty Select-a-Size Paper Towels, 12 Double Rolls, White. The product is priced at: $39.92. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q54,Single Choice,"Please consider the following product category: Detergents - Heavy Duty - Liquid. Suppose you are in a grocery store, and you see the following product in that category: Purex Liquid Laundry Detergent Plus OXI, Stain Defense Technology, 128 Fluid Ounces, 85 Wash Loads. The product is priced at: $17.95. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q55,Single Choice,"Please consider the following product category: Soup. Suppose you are in a grocery store, and you see the following product in that category: Maruchan Ramen Noodle Chicken Flavor Soup, 3 Oz, 12 Count Shelf Stable Package. The product is priced at: $0.00. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q56,Single Choice,"Please consider the following product category: Frozen Novelties. Suppose you are in a grocery store, and you see the following product in that category: Pop-Ice Assorted Fruit Freezer Ice Pops, Gluten-Free Snack, 1.5 oz, 80 Count Fruit Pops. The product is priced at: $7.40. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q57,Single Choice,"Please consider the following product category: Refrigerated Entrees. Suppose you are in a grocery store, and you see the following product in that category: John Soules Foods Chicken Breast Fajita Strips, Refrigerated, 16oz, 18g Protein per 3oz Serving Size. The product is priced at: $2.39. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q58,Single Choice,"Please consider the following product category: Fresh Eggs. Suppose you are in a grocery store, and you see the following product in that category: Eggland's Best Classic Extra Large White Eggs, 12 count. The product is priced at: $1.91. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q59,Single Choice,"Please consider the following product category: Dairy - Milk - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Great Value Milk Whole Vitamin D Gallon. The product is priced at: $6.27. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q60,Single Choice,"Please consider the following product category: Cookies. Suppose you are in a grocery store, and you see the following product in that category: Little Debbie Oatmeal Creme Pies, 12 ct, 16.2 oz. The product is priced at: $1.61. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q61,Single Choice,"Please consider the following product category: Cat Food - Wet Type. Suppose you are in a grocery store, and you see the following product in that category: Purina Fancy Feast Chicken Feast Classic Grain Free Wet Cat Food Pate - 3 oz. Can. The product is priced at: $1.58. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q62,Single Choice,"Please consider the following product category: Fresh Fruit. Suppose you are in a grocery store, and you see the following product in that category: Fresh Raspberries, 12 oz Container. The product is priced at: $5.69. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
Q63,Single Choice,"Please consider the following product category: Bakery - Fresh Cakes. Suppose you are in a grocery store, and you see the following product in that category: Little Debbie Zebra Cakes, 13 oz. The product is priced at: $0.54. Would you or would you not purchase this product?","1 - Yes, I would purchase the product
  2 - No, I would not purchase the product"
